Number of Clusters Searched,Sample nProbe,nProbe,Monolithic NDCG,Split NDCG,Cluster NDCG,Monolithic Recall,Split Recall,Cluster Recall
6,8,128,0.8972274199146026,0.6429141867702681,0.9087113652503032,0.85625,0.54375,0.86875
6,8,256,0.9308758554070701,0.6828289813751134,0.9441052859444999,0.9,0.5875,0.91875
6,16,128,0.8635789844221353,0.6429141867702681,0.9087113652503032,0.8125,0.54375,0.86875
6,16,256,0.9308758554070701,0.6828289813751134,0.9441052859444999,0.9,0.5875,0.91875
6,32,128,0.8635789844221353,0.6429141867702681,0.9087113652503032,0.8125,0.54375,0.86875
6,32,256,0.9308758554070701,0.6828289813751134,0.9482054446167606,0.9,0.5875,0.925
6,64,128,0.8635789844221353,0.6429141867702681,0.9087113652503032,0.8125,0.54375,0.86875
6,64,256,0.9308758554070701,0.6828289813751134,0.9482054446167606,0.9,0.5875,0.925
6,128,128,0.8635789844221353,0.6429141867702681,0.9087113652503032,0.8125,0.54375,0.86875
6,128,256,0.9308758554070701,0.6828289813751134,0.9482054446167606,0.9,0.5875,0.925
6,256,256,0.9308758554070701,0.6828289813751134,0.9482054446167606,0.9,0.5875,0.925
7,1,128,0.8635789844221353,0.737172426052528,0.8762621457151636,0.8125,0.65,0.8375
7,1,256,0.9308758554070701,0.7819221216044496,0.915756225081621,0.9,0.7000000000000001,0.89375
7,2,128,0.8635789844221353,0.737172426052528,0.9034119870429029,0.8125,0.65,0.8625
7,2,256,0.9308758554070701,0.7819221216044496,0.9429060664093604,0.9,0.7000000000000001,0.91875
7,4,128,0.8635789844221353,0.737172426052528,0.9087113652503032,0.8125,0.65,0.86875
7,4,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
7,8,16,0.9308758554070701,0.5482160752471558,0.6766252536665368,0.9,0.45,0.59375
7,8,32,0.9308758554070701,0.6239017437626496,0.7502951683879977,0.9,0.525,0.68125
7,8,64,0.9308758554070701,0.6721673059359123,0.8346456315083368,0.9,0.58125,0.775
7,8,128,0.8972274199146026,0.737172426052528,0.9087113652503032,0.85625,0.65,0.86875
7,8,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
7,16,128,0.8635789844221353,0.737172426052528,0.9087113652503032,0.8125,0.65,0.86875
7,16,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
7,32,128,0.8635789844221353,0.737172426052528,0.9087113652503032,0.8125,0.65,0.86875
7,32,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
7,64,128,0.8635789844221353,0.737172426052528,0.9087113652503032,0.8125,0.65,0.86875
7,64,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
7,128,128,0.8635789844221353,0.737172426052528,0.9087113652503032,0.8125,0.65,0.86875
7,128,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
7,256,256,0.9308758554070701,0.7819221216044496,0.9482054446167606,0.9,0.7000000000000001,0.925
8,1,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,1,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,2,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,2,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,4,128,0.8635789844221353,0.8248634093524296,0.9087113652503032,0.8125,0.7625,0.86875
8,4,256,0.9308758554070701,0.861601260590244,0.9482054446167606,0.9,0.80625,0.925
8,8,16,0.9308758554070701,0.6265324178852789,0.6766252536665368,0.9,0.5375,0.59375
8,8,32,0.9308758554070701,0.71645252422751,0.7502951683879977,0.9,0.625,0.68125
8,8,64,0.9308758554070701,0.7741176232804337,0.8346456315083368,0.9,0.69375,0.775
