Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
800,9,24,128,5,32,0.1971247088909149
800,9,32,128,5,32,0.20096994042396546
800,9,40,128,5,32,0.35560916185379027
800,9,48,128,5,32,0.3664850413799286
800,9,56,128,5,32,0.3728149616718292
800,9,64,128,5,32,0.37546547174453737
800,9,72,128,5,32,0.5257716250419616
800,9,80,128,5,32,0.5364686095714569
800,9,88,128,5,32,0.5424172258377076
800,9,96,128,5,32,0.547724243402481
800,9,104,128,5,32,0.690338169336319
800,9,112,128,5,32,0.7049739563465118
800,9,120,128,5,32,0.7153991627693176
800,9,128,128,5,32,0.7192495858669281
800,9,136,128,5,32,0.8620516777038574
800,9,144,128,5,32,0.8748322546482086
800,9,152,128,5,32,0.8846218872070313
800,9,160,128,5,32,0.8897197008132934
1000,0,1,128,5,32,0.15943352818489076
1000,0,2,128,5,32,0.16756385684013367
1000,0,4,128,5,32,0.17567927718162538
1000,0,8,128,5,32,0.1809949243068695
1000,0,16,128,5,32,0.18583257555961608
1000,0,24,128,5,32,0.18860938906669616
1000,0,32,128,5,32,0.1920374548435211
1000,0,40,128,5,32,0.3453062558174133
1000,0,48,128,5,32,0.352781879901886
1000,0,56,128,5,32,0.3568659472465515
1000,0,64,128,5,32,0.3623251628875732
1000,0,72,128,5,32,0.5085200929641723
1000,0,80,128,5,32,0.518219496011734
1000,0,88,128,5,32,0.5236521708965302
1000,0,96,128,5,32,0.5272856712341308
1000,0,104,128,5,32,0.6702806627750397
1000,0,112,128,5,32,0.6830921745300294
1000,0,120,128,5,32,0.6905744349956513
1000,0,128,128,5,32,0.6948293626308442
1000,0,136,128,5,32,0.8327448225021362
1000,0,144,128,5,32,0.8451022601127625
1000,0,152,128,5,32,0.8529126858711242
1000,0,160,128,5,32,0.8563008034229278
1000,1,1,128,5,32,0.1821889841556549
1000,1,2,128,5,32,0.1913249659538269
1000,1,4,128,5,32,0.20099135041236876
1000,1,8,128,5,32,0.20936166524887084
1000,1,16,128,5,32,0.2165893507003784
1000,1,24,128,5,32,0.22195741772651673
1000,1,32,128,5,32,0.2258441650867462
1000,1,40,128,5,32,0.4025192677974701
1000,1,48,128,5,32,0.41231696009635926
1000,1,56,128,5,32,0.42049385905265807
1000,1,64,128,5,32,0.4239546167850494
1000,1,72,128,5,32,0.5947105884552002
1000,1,80,128,5,32,0.6069575142860413
1000,1,88,128,5,32,0.6132613444328308
1000,1,96,128,5,32,0.6193215405941009
1000,1,104,128,5,32,0.7848683965206146
1000,1,112,128,5,32,0.7969074869155883
1000,1,120,128,5,32,0.8034413611888885
1000,1,128,128,5,32,0.8084728825092315
1000,1,136,128,5,32,0.9706867778301239
1000,1,144,128,5,32,0.9863438820838928
1000,1,152,128,5,32,0.9937128984928131
1000,1,160,128,5,32,0.9985072982311248
1000,2,1,128,5,32,0.16271132588386536
1000,2,2,128,5,32,0.1735391092300415
1000,2,4,128,5,32,0.17765931248664857
1000,2,8,128,5,32,0.1796288800239563
1000,2,16,128,5,32,0.18540082812309266
1000,2,24,128,5,32,0.18943954467773438
1000,2,32,128,5,32,0.19267723679542542
1000,2,40,128,5,32,0.34333441257476804
1000,2,48,128,5,32,0.3506428015232086
1000,2,56,128,5,32,0.35586502552032473
1000,2,64,128,5,32,0.3602527093887329
1000,2,72,128,5,32,0.5069958233833313
1000,2,80,128,5,32,0.5170728421211243
1000,2,88,128,5,32,0.5233504247665405
1000,2,96,128,5,32,0.5290114653110504
1000,2,104,128,5,32,0.6696436655521393
1000,2,112,128,5,32,0.6830321335792542
1000,2,120,128,5,32,0.6891985130310059
1000,2,128,128,5,32,0.6934035229682922
1000,2,136,128,5,32,0.8317989778518676
1000,2,144,128,5,32,0.8433018636703491
1000,2,152,128,5,32,0.8542849695682526
1000,2,160,128,5,32,0.8588632357120514
1000,3,1,128,5,32,0.1515843904018402
1000,3,2,128,5,32,0.15879327058792114
1000,3,4,128,5,32,0.16470591425895692
1000,3,8,128,5,32,0.17043033242225647
1000,3,16,128,5,32,0.175233371257782
